KAUM科番号,科,Family,和名,学名,Remarks,和名ヘボン式表記,目
176,ヘコアユ科,Centriscidae,ヨロイウオ,Centriscus scutatus Linnaeus 1758,"
小枝ほか（2016）Nat Kagoshima 42:119-122，笠沙，肝付町高山；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；小枝ほか（2020）「大隅市場魚類図鑑」；岩坪ほか（2022）「薩摩半島沿岸の魚類」
",Yoroiuo,"ヨウジウオ目
Syngnathiformes"
176,ヘコアユ科,Centriscidae,ダイコクサギフエ,Macroramphosus japonicus (Günther 1861),"
サギフエ科→ヘコアユ科；北島ほか（1976）西海区水産研究所研究報告48:47-92，宇治群島沖，屋久島沖；竹内ほか（2015）日本生物地理学会会報70:1-11，対馬；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；村瀬ほか（2019）「門川の魚類」；田中ほか（2020）神奈川県立博物館研究報告（自然科学）49:107-118，渡嘉敷島渡嘉志久湾；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Koreeda & Motomura (2025) Bull Kagoshima Univ Mus 21:1-119，甑島列島；畠中ほか（2025）Ichthy, Nat Hist Fish Jpn 56:8-30，宇治群島；木村・笹木（2025）「三重県の魚類図鑑」；和田ほか（2025）Mikuraensis 14:5-54，御蔵島；甲斐・御所（2025）「紀伊大島の魚」和歌山県紀伊大島
",Daikokusagifue,"ヨウジウオ目
Syngnathiformes"
176,ヘコアユ科,Centriscidae,サギフエ,Macroramphosus sagifue Jordan & Starks 1902,"
サギフエ科→ヘコアユ科；北島ほか（1976）西海区水産研究所研究報告48:47-92，東シナ海；Ozawa (1983) Bull Japan Soc Fish Oceanogr 44:9-16，鹿児島県枕崎市と大隅諸島黒島の中間海域；古橋ほか（2010）長崎大学水産学部研究報告91:17-33，九州西方（東シナ海）；荒尾・玉井（2011）豊橋市自然史博物館研報21:17-26，愛知県渥美半島沖；玉井・荒尾（2013）豊橋市自然史博物館研報23:45-48，愛知県渥美半島沖；竹内ほか（2015）日本生物地理学会会報70:1-11，対馬；Motomura et al (2016) Mem Fac Fish Kagoshima Univ 64:10-34，宇治群島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；小枝ほか（2018）「内之浦の魚類」；工藤・瀬能（2020）神奈川県自然誌資料41:53-60，東京湾（横浜）；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；小枝ほか（2020）「大隅市場魚類図鑑」；清水（2021）徳島県立博物館研究報告31:13-21，愛媛県瀬戸内海側；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Koreeda & Motomura (2025) Bull Kagoshima Univ Mus 21:1-119，甑島列島；畠中ほか（2025）Ichthy, Nat Hist Fish Jpn 56:8-30，宇治群島；木村・笹木（2025）「三重県の魚類図鑑」；和田ほか（2025）Mikuraensis 14:5-54，御蔵島
",Sagifue,"ヨウジウオ目
Syngnathiformes"
177,カミソリウオ科,Solenostomidae,カミソリウオ,Solenostomus cyanopterus Bleeker 1854,"
Koeda et al (2016) Fishes of Yonaguni，与那国島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；本村ほか（2019）「奄美群島の魚類」；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；工藤ほか（2022）神奈川県自然誌資料43:97-142，三浦半島南西岸；村瀬ほか（2023）Ichthy, Nat Hist Fish Jpn 33:33-114，宮崎県南部；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Kamisoriuo,"ヨウジウオ目
Syngnathiformes"
177,カミソリウオ科,Solenostomidae,ホソフウライウオ,Solenostomus leptosoma Tanaka 1908,"
本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Aizawa et al (2024) Univ Mus, Univ Tokyo Material Rep 132:213-251，神奈川県
",Hosofuraiuo,"ヨウジウオ目
Syngnathiformes"
177,カミソリウオ科,Solenostomidae,ニシキフウライウオ,Solenostomus paradoxus (Pallas 1770),"
本村ほか（2013）「硫黄島・竹島の魚類」；Koeda et al (2016) Fishes of Yonaguni，与那国島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島竹島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島or加計呂麻島；村瀬ほか（2023）Ichthy, Nat Hist Fish Jpn 33:33-114，宮崎県南部；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Nishikifuraiuo,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,タツノイトコ,Acentronura gracilissima (Temminck & Schlegel 1850),"
Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；荒木ほか（2019）Nat Kagoshima 46:185-188，薩摩半島西岸・鹿児島湾；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；Short & Trnski (2021) Ichthyol & Herpetol 109:806-835，相模湾，亜属Acentronuraを属として扱う；岩坪ほか（2022）「薩摩半島沿岸の魚類」；幸・本村（2024）Ichthy, Nat Hist Fish Jpn 40:54-57，三重県，薩摩半島西岸，鹿児島湾；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，千葉県
",Tatsunoitoko,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,タツノハトコ,Acentronura tentaculata Günther 1870,"
Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Short & Trnski (2021) Ichthyol & Herpetol 109:806-835，亜属Acentronuraを属として扱う；幸・本村（2024）Ichthy, Nat Hist Fish Jpn 40:54-57，薩摩半島西岸，石垣島（奄美大島，沖縄島，水納島，慶良間諸島，および宮古島からの記録は水中写真のみに基づき，これらがタツノハトコかタツノイトコであるか判断不可能）；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，長崎県
",Tatsunohatoko,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,カブトヨウジ,Bhanotia fasciolata (Duméril 1870),,Kabutoyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,チンヨウジウオ,Bulbonaricus brauni (Dawson & Allen 1978),"
Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」
",Chin-yojiuo,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,シューヤジリチンヨウジウオ,Bulbonaricus davaoensis (Herald 1953),"
Araki et al (2020) Spec Divers 25:163-169，沖永良部島，父島；荒木ほか（2020）Nat Kagoshima 47:109-110，屋久島
",Shuyajirichin-yojiuo,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ハシナガチゴヨウジ,Choeroichthys brachysoma (Bleeker 1855),"
Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島
",Hashinagachigoyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,チゴヨウジ,Choeroichthys sculptus (Günther 1870),"
Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；本村ほか（2019）「奄美群島の魚類」；Fujiwara & Motomura (2020) Bull Kagoshima Univ Mus 14:1-73，喜界島；幸ほか（2022）Ichthy, Nat Hist Fish Jpn 17:75-78，駿河湾，屋久島，喜界島，与論島
",Chigoyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ホシイッセンヨウジ,Coelonotus argulus (Peters 1855),"
属名変更（Kottelat 2013）；山川ほか（2017）神奈川県立博物館研究報告（自然科学）46:97-100，奄美大島河川記録；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；井藤ほか（2023）魚類学雑誌doi:10.11369/jji.22-029，徳島県（北限），奄美大島
",Hoshiissen-yoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,イッセンヨウジ,Coelonotus leiaspis (Bleeker 1854),"
属名変更；武内ほか（2011）近畿大学農学部紀要44:63-87，和歌山県；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島；本村ほか（2019）「奄美群島の魚類」；赤池ほか（2021）Ichthy, Nat Hist Fish Jpn 13:18-35，沖永良部島；外山ほか（2021）茨城県自然博物館研究報告24:77-84，茨城県久慈川；和歌山県RedDataBook；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島；金子ほか（2022）茨城県自然博物館研究報告25:27-40，茨城県久慈川；山崎ほか（2022）茨城県自然博物館研究報告25:79-94，茨城県；井藤ほか（2023）魚類学雑誌doi:10.11369/jji.22-029，神奈川県，徳島県；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；岡村ほか（2023）Ichthy, Nat Hist Fish Jpn 35:20-27，高知県；山崎・外山（2023）茨城県水産試験場研究報告48:18-20，茨城県；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，和歌山県，長崎県，西表島
",Issen-yoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,オビイシヨウジ,Corythoichthys amplexus Dawson & Randall 1975,"
Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島，加計呂麻島；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，西表島
",Obiishiyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,キシマイシヨウジ,Corythoichthys flavofasciatus (Rüppell 1838),"
正しい学名はCorythoichthys conspicillatus (Jenyns 1842)の可能性が高い；Corythoichthys flavofasciatus (Rüppell 1838)はインド洋の種；本村ほか（2019）「奄美群島の魚類」；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；和田ほか（2021）Ichthy, Nat Hist Fish Jpn 7:35-52，徳之島；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，徳之島
",Kishimaishiyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,イシヨウジ,Corythoichthys haematopterus (Bleeker 1851),"
本村ほか（2013）「硫黄島・竹島の魚類」；Koeda et al (2016) Fishes of Yonaguni，与那国島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島；本村ほか（2019）「奄美群島の魚類」；村瀬ほか（2019）「門川の魚類」；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；Fujiwara & Motomura (2020) Bull Kagoshima Univ Mus 14:1-73，喜界島；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Yuki et al (2024) Spec Divers 29:247-253，与論島，沖縄島；Koreeda & Motomura (2025) Bull Kagoshima Univ Mus 21:1-119，甑島列島；木村・笹木（2025）「三重県の魚類図鑑」；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，石垣島
",Ishiyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,リュウキュウイシヨウジ,Corythoichthys intestinalis (Ramsay 1881),"
Yuki et al (2024) Spec Divers 29:247-253，奄美大島，伊江島
",Ryukyuishiyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,オボロイシヨウジ,Corythoichthys polynotatus Dawson 1977,"
吉郷（2014）Fauna Ryukyuana 11:9-14，西表島
",Oboroishiyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,クチナガイシヨウジ,Corythoichthys schultzi Herald 1953,"
Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；木村ほか（2017）「口永良部島の魚類」；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島；本村ほか（2019）「奄美群島の魚類」；田中ほか（2020）神奈川県立博物館研究報告（自然科学）49:107-118，渡嘉敷島渡嘉志久湾；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；Fujiwara & Motomura (2020) Bull Kagoshima Univ Mus 14:1-73，喜界島；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島
",Kuchinagaishiyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ヒナヨウジ,Cosmocampus banneri (Herald & Randall 1972),"
Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島，加計呂麻島；岩坪ほか（2022）「薩摩半島沿岸の魚類」，ハチジョウボウヨウジの誤同定；幸ほか（2023）Ichthy, Nat Hist Fish Jpn 36:22-24，高知県，薩摩半島西岸，石垣島，岩坪ほか（2022）が記録したヒナヨウジはハチジョウボウヨウジに再同定；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，小笠原諸島父島
",Hinayoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ヒバシヨウジ,Doryrhamphus (Doryrhamphus) excisus excisus Kaup 1856,"
Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島；本村ほか（2019）「奄美群島の魚類」；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；Fujiwara & Motomura (2020) Bull Kagoshima Univ Mus 14:1-73，喜界島；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島，加計呂麻島；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Hibashiyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ノコギリヨウジ,Doryrhamphus (Doryrhamphus) japonicus Araga & Yoshino 1975,"
本村ほか（2013）「硫黄島・竹島の魚類」；佐々木ほか（2014）小笠原研究41:13-39，小笠原諸島；岩坪ほか（2014）Nat Kagoshima 40:81-94，薩摩半島南端（南九州市頴娃町）；Motomura et al (2016) Mem Fac Fish Kagoshima Univ 64:10-34，宇治群島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；岩坪・本村（2017）「鹿児島湾の魚類」；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島；本村ほか（2019）「奄美群島の魚類」；村瀬ほか（2019）「門川の魚類」；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島硫黄島・竹島；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；工藤ほか（2022）神奈川県自然誌資料43:97-142，三浦半島南西岸；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；中村ほか（2024）Ichthy, Nat Hist Fish Jpn 50:26-55，鹿児島湾；鈴木ほか（2025）Ichthy, Nat Hist Fish Jpn 51:1-24，宮城県志津川湾；Koreeda & Motomura (2025) Bull Kagoshima Univ Mus 21:1-119，甑島列島；畠中ほか（2025）Ichthy, Nat Hist Fish Jpn 56:8-30，宇治群島；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，和歌山県
",Nokogiriyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,セスジヨウジ,Doryrhamphus (Doryrhamphus) negrosensis negrosensis Herre 1934,"
Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，石垣島
",Sesujiyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,オイランヨウジ,Doryrhamphus (Dunckerocampus) dactyliophorus (Bleeker 1853),"
Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」；藤原ほか（2020）Ichthy, Nat Hist Fish Jpn 3:30-40，沖永良部島；萩原（2022）横須賀市博物館資料集46:1-127，加計呂麻島；Motomura (2023) Bull Kagoshima Univ Mus 20:1-250，種子島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；幸ほか（2024）Ichthy, Nat Hist Fish Jpn 43:11-19，高知県，種子島，屋久島，沖縄島，伊江島，伊良部島，石垣島；阿部ほか（2024）Ichthy, Nat Hist Fish Jpn 45:1-14，口永良部島；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，西表島
",Oiran-yoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,カスミオイランヨウジ,Doryrhamphus (Dunckerocampus) naia Allen & Kuiter 2004,"
本村ほか（2013）「硫黄島・竹島の魚類」；Koeda et al (2016) Fishes of Yonaguni，与那国島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Mochida & Motomura (2018) Bull Kagoshima Univ Mus 10:1-80，徳之島；本村ほか（2019）「奄美群島の魚類」；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；Fujiwara & Motomura (2020) Bull Kagoshima Univ Mus 14:1-73，喜界島；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島硫黄島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；幸ほか（2024）Ichthy, Nat Hist Fish Jpn 43:11-19，八丈島，高知県，硫黄島，平島，奄美大島，喜界島，徳之島，沖永良部島，与論島，沖縄島，与那国島
",Kasumioiran-yoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,アマクサヨウジ,Festucalex amakusensis (Tomiyama 1972),"
Festucalex erythraeus (Gilbert 1905)はハワイ固有種で，これまで新参異名とされていたFestucalex amakusensis (Tomiyama 1972)が有効（Kuiter 2009）；岩坪ほか（2014）Nat Kagoshima 40:81-94，薩摩半島南端（南九州市頴娃町）；吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，長崎県
",Amakusayoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ギブスアマクサヨウジ,Festucalex gibbsi Dawson 1977,"
幸ほか（2024）Ichthy, Nat Hist Fish Jpn 48:19-21，高知県（日本初記録・和名提唱）；幸ほか（2025）Ichthy, Nat Hist Fish Jpn 57:13-16，種子島
",Gibusuamakusayoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ミナミアマクサヨウジ,Festucalex wassi Dawson 1977,"
幸ほか（2024）Ichthy, Nat Hist Fish Jpn 47:5-8，奄美大島（日本初記録・和名提唱）
",Minamiamakusayoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ホソウミヤッコ,Halicampus boothae (Whitley 1964),"
Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」；荒木ほか（2019）Nat Kagoshima 45:335-339，九州初記録（笠沙）；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；松沼ほか（2021）Ichthy, Nat Hist Fish Jpn 14:43-47，屋久島；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島or加計呂麻島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾
",Hosomiyakko,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ノコギリウミヤッコ,Halicampus brocki (Herald 1953),"
佐々木ほか（2014）小笠原研究41:13-39，小笠原諸島；Motomura et al (2016) Mem Fac Fish Kagoshima Univ 64:10-34，宇治群島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；Fujiwara & Motomura (2020) Bull Kagoshima Univ Mus 14:1-73，喜界島；和田ほか（2021）Ichthy, Nat Hist Fish Jpn 7:35-52，徳之島；Jeong & Motomura (2021) Bull Kagoshima Univ Mus 16:1-116，大隅諸島竹島；畠中ほか（2025）Ichthy, Nat Hist Fish Jpn 56:8-30，宇治群島；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，小笠原諸島兄島
",Nokogiriumiyakko,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ヒメホソウミヤッコ,Halicampus dunckeri (Chabanaud 1929),"
Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島
",Himehosomiyakko,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ウミヤッコ,Halicampus grayi Kaup 1856,"
太田ほか（2010）Nat Kagoshima 36:57-59，薩摩半島西岸；Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；松沼ほか（2021）Ichthy, Nat Hist Fish Jpn 14:43-47，屋久島；岩坪ほか（2022）「薩摩半島沿岸の魚類」；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，長崎県，鹿児島県
",Umiyakko,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,タツウミヤッコ,Halicampus macrorhynchus Bamber 1915,"
Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」；Motomura & Uehara (2020) Bull Kagoshima Univ Mus 12:1-125，沖永良部島；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，長崎県
",Tatsumiyakko,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,チャバナウミヤッコ,Halicampus mataafae (Jordan & Seale 1906),"
Wibowo & Motomura (2017) Spec Divers 22:219-223，日本初記録（与論島）；本村ほか（2019）「奄美群島の魚類」
",Chabanaumiyakko,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,トラフウミヤッコ,Halicampus nitidus (Günther 1873),"
Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；本村ほか（2019）「奄美群島の魚類」；萩原（2022）横須賀市博物館資料集46:1-127，奄美大島，加計呂麻島
",Torafumiyakko,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ホシヨウジ,Halicampus punctatus (Kamohara 1952),"
吉郷（2018）比和科学博物館研究報告59:127-203，瀬戸内海；荒木ほか（2019）Nat Kagoshima 45:335-339，鹿児島県初記録（笠沙）；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；岩坪ほか（2022）「薩摩半島沿岸の魚類」；本田ほか（2024）神奈川県立博物館研究報告（自然科学）53:127-218，相模湾；木村・笹木（2025）「三重県の魚類図鑑」；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，神奈川県
",Hoshiyoji,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ヒメトゲウミヤッコ,Halicampus spinirostris (Dawson & Allen 1981),"
松沼ほか (2013) 魚類学雑誌60:157-161，与論島，慶良間諸島慶留間島；田代・本村（2015）Nat Kagoshima 41:37-39，屋久島；Motomura & Harazaki (2017) Bull Kagoshima Univ Mus 9:1-183，屋久島；本村ほか（2019）「奄美群島の魚類」
",Himetogeumiyakko,"ヨウジウオ目
Syngnathiformes"
178,ヨウジウオ科,Syngnathidae,ハクテンヨウジ,Hippichthys (Hippichthys) cyanospilos (Bleeker 1854),"
Nakae et al (2018) Mem Natl Mus Nat Sci Tokyo 52:205-361，奄美大島；Yuki et al (2025) Univ Mus, Univ Tokyo Material Rep 139:31-45，石垣島，西表島
",Hakuten-yoji,"ヨウジウオ目
Syngnathiformes"
